DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
pothole,A.2 Underground landform|A.2 Underground landform|D.3.1 Geolocation|A.2 Underground landform|D.3.1 Geolocation,abime|jama|France|pothole|England,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England.",,,in limestone,,,,Vertical,,,Vertical or steeply inclined shaft,,,,,,,,,,,,,in,,,,,,,,,,,,
aven,A.2 Underground landform|A.2 Underground landform|D.3.1 Geolocation|A.2 Underground landform|D.3.1 Geolocation,abime|jama|France|pothole|England,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England.",,,in limestone,,,,Vertical,,,Vertical or steeply inclined shaft,,,,,,,,,,,,,in,,,,,,,,,,,,
abime,A.2 Underground landform|A.2 Underground landform|D.3.1 Geolocation|A.2 Underground landform|D.3.1 Geolocation,abime|jama|France|pothole|England,"jama: Vertical or steeply inclined shaft in limestone, known as abime or aven in France and as pothole in England.",,,in limestone,,,,Vertical,,,Vertical or steeply inclined shaft,,,,,,,,,,,,,in,,,,,,,,,,,,
joint-plane cave,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,joint-plane cave|cavity|planes,joint-plane cave: A cavity high in relation to width developed along steeply dipping joint planes.,,,,,,,cavity,,,,,developed along steeply dipping joint planes,,,high in relation to width,,,,,,,,,,,,,developed along,,,,,,,
Karren,B.4 Transformation|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,solution|furrows|Karren|Channels,"Karren: Channels or furrows, caused by solution on massive bare limestone surfaces; they vary in depth from a few millimeters to more than a meter and are separated by ridges.",,,on massive bare limestone surfaces,,,,Channels|furrows,,caused by solution,separated by ridges|Channels or furrows,,,,,vary in depth from a few millimeters to more than a meter,,,,,,,caused by,on,,,,,,,,,,from|to,,
Rillenkarren,A.1 Surface landform|A.1 Surface landform,Karren|Rillenkarren,"Rillenkarren: Type of Karren, shallow channels separated by sharp ridges 2 - 3 centimeters apart.",,,,,,,Karren,,,shallow channels separated by sharp ridges,,,,,2 - 3 centimeters apart,,,,,,,,,,,,,,,,,,centimeters apart,,
Rinnenkarren,A.1 Surface landform|A.1 Surface landform,Rinnenkarren|Karren,"Rinnenkarren: Type of Karren, flat-bottomed grooves several centimeters apart.",,,,,,,Karren,,,flat-bottomed grooves,,,,,several centimeters apart,,,,,,,,,,,,,,,,,,centimeters apart,,
Kluftkarren,A.1 Surface landform|A.1 Surface landform,Kluftkarren|Karren,Kluftkarren: Type of Karren; joints enlarged by solution.,,,,,,,Karren,,joints enlarged by solution,,,,,,,,,,,,,enlarged by,,,,,,,,,,,,,
Spitzkarren,A.1 Surface landform|A.1 Surface landform,Karren|Spitzkarren,"Spitzkarren: Type of Karren, large deep grooves extending down from steep spires or pinnacles.",,,,,,,Karren,,,,,extending down from steep spires or pinnacles,,,large deep grooves,,,,,,,,,,,,,extending down from,,,,,,,
Meanderkarren,A.1 Surface landform|A.1 Surface landform,Meanderkarren|Karren,"Meanderkarren: Type of Karren, small winding or meandering channels.",,,,,,,Karren,,,winding or meandering channels,,,,,small,,,,,,,,,,,,,,,,,,,,
Rundkarren,A.1 Surface landform|A.1 Surface landform,Rundkarren|Karren,"Rundkarren: Karren having rounded channels and intervening rounded ridges, probably reexhumed after formation under soil or peat.",,,,,,,Karren,,reexhumed after formation under soil or peat,having rounded channels and intervening rounded ridges,,,,,,,,,,,,,,,,having,,,,,,,,,
Fachkarren,A.1 Surface landform|A.1 Surface landform,Fachkarren|Karren,"Fachkarren: Type of Karren, equivalent to English clint.",,,,,,,Karren,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodenkarren,A.1 Surface landform|A.1 Surface landform,Bodenkarren|Karren,"Bodenkarren: Karren formed beneath the soil. Synonym, lapils.",,,,,,,Karren,,,,,formed beneath the soil,,,,,,,,,,,,,,,,formed beneath,,,,,,,
Karrenfeld,A.1 Surface landform|D.1 Abiotic,Karrenfeld|limestone,Karrenfeld: An area of limestone dominated by Karren.,,,of limestone,dominated by Karren,,,,,,,,,,,,,,,,,,,of,dominated by,,,,,,,,,,,
karst,C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|B.4 Transformation|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome|C. Geome,Kegel - karst|Spitz - kegelkarst|tower karst|buried karst|naked karst|exhumed karst|syngenetic karst|cone karst|subjacent karst|covered karst|thermokarst|dissolving|holokarst|paleokarst|Halbkugelkarst|merokarst|microkarst|pseudokarst|karst,"karst: A terrain, generally underlain by limestone, in which the topography is chiefly formed by the dissolving of rock, and which is commonly characterized by Karren, closed depressions, subterranean drainage, and caves. See also buried karst; cone karst; covered karst; exhumed karst; Halbkugelkarst; holokarst; Kegel - karst; merokarst; microkarst; naked karst; paleokarst; pseudokarst; Spitz - kegelkarst; subjacent karst; syngenetic karst; thermokarst; tower karst.",,,underlain by limestone,"commonly characterized by Karren , closed depressions , subterranean drainage , and caves",,,terrain,,formed by the dissolving of rock,,,,,,,,,,Spitz - kegelkarst|Kegel - karst|subjacent karst|syngenetic karst|cone karst|exhumed karst|naked karst|buried karst|tower karst|covered karst|pseudokarst|merokarst|Halbkugelkarst|holokarst|thermokarst|microkarst|paleokarst,,,formed by the,underlain by,commonly characterized by,,,,,,,,,,,
karst barre,C. Geome|C. Geome,karst barre|karst,karst barre: A karst of limited area completely surrounded by rocks of low permeability.,,,surrounded by rocks of low permeability,,,,karst,,,,,,,,,,,,,,,,surrounded by,,,,,,,,,,,,
karst base level,D.1 Abiotic|B. Process,karst base level|karstification,karst base level: Level below which karstification does not take place.,,,,,,,,,,,karstification does not take place,,,,,,,,,,,,,,,,,,,,,,,,
karst bridge,A.1 Surface landform,karst bridge,karst bridge: A natural bridge or arch in limestone.,,,in limestone,,,,,,natural,bridge or arch,,,,,,,,,,,,,in,,,,,,,,,,,,
karst fens,A.1 Surface landform,karst fens,karst fens: Marshes developed in sinkhole terrain; swampy solution fens.,,,,,,,,,,,,developed in sinkhole terrain,,,,,,,,,,,,,,,,developed in,,,,,,,
karst lake,A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic,karst lake|limestone|water,karst lake: A large area of standing water in extensive closed depression in limestone.,,,in limestone,standing water,,,,,,,,in extensive closed depression,,,,,,,,,,,in,,,,,,,,,,,,
karst margin plain,A.1 Surface landform|B.1 Movement|D.1 Abiotic|D.1 Abiotic,karst margin plain|surface drainage|limestone|plain,"karst margin plain: A plain generally on limestone between higher country of limestone on one side and of less pervious rocks on the other, but having a cover of impervious detritus, which allows surface drainage. Synonym, Karstrandebene. on",,,generally on limestone between higher country of limestone on one side and of less pervious rocks on the other,,,,plain,,,plain,"having a cover of impervious detritus , which allows surface drainage",,,,,,,,,,,,generally on|on,,,,which allows,,,,,,,,
karst plain,A.1 Surface landform|B.1 Movement,karst plain|subterranean drainage,"karst plain: A plain on which closed depressions, subterranean drainage, and other karst features may be developed. Also called karst plateau.",,,,"closed depressions , subterranean drainage , and other karst features",,,plain,,,plain,,,,,,,,,,,,,,may be developed,,,,,,,,,,,
karst pond,A.3 Hydrological form,karst pond,karst pond: Closed depression in a karst area containing standing water.,,,,containing standing water,,,Closed depression,,,Closed depression,,in a karst area,,,,,,,,,,,,containing,,,,in a,,,,,,,
karst river,A.3 Hydrological form|A.3 Hydrological form,karst river|karst spring,karst river: A river that originates from a karst spring.,,,,,,,river,,originates from a karst spring,,,,,,,,,,,,,originates from,,,,,,,,,,,,,
travertine,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.4 Transformation,"Calcium carbonate , CaCO2|cave onyx|onyx marble|spring deposit|calcareous tufa|calcareous sinter|travertine|solution","travertine: Calcium carbonate, CaCO2, light in color and generally concretionary and compact, deposited from solution in ground and surface waters. Extremely porous or cellular varieties are known as calcareous tufa, calcareous sinter, or spring deposit. Compact banded varieties, capable of taking a polish, are called onyx marble or cave onyx.",,,"Calcium carbonate , CaCO2",,,,"Calcium carbonate , CaCO2",,deposited from solution in ground and surface waters,light in color and generally concretionary and compact,,,,,,,,,,,,deposited from,,,,,,,,,,,,,
tube,A.2 Underground landform|A.2 Underground landform,cave passage|tube,tube: A smooth-surfaced cave passage of elliptical or nearly circular cross section.,,,,,,,cave passage,,,of elliptical or nearly circular cross section|smooth-surfaced,,,,,,,,,,,,,,,,,,,,,,,,,
turlough,D.1 Abiotic|A.1 Surface landform,limestone|turlough,turlough: A depression in limestone or in glacial drift over limestone that is liable to flood either from excess surface runoff or from rising ground water.,,,in limestone or in glacial drift over limestone,,,,depression,,,,that is liable to flood either from excess surface runoff or from rising ground water,,,,,,,,,,,,in,,,,,,,,,,,,
uvala,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|B.4 Transformation|A.1 Surface landform|A.1 Surface landform,closed depression|compound doline|depression|coalesence|dolines|uvala,uvala: Large closed depression formed by the coalesence of several dolines; compound doline. depression,,,,,,,depression,,formed by the coalesence of several dolines,closed,,,,,Large,,,,,,,formed by,,,,,,,,,,,,,
vadose water,C. Geome|C. Geome|D.1 Abiotic|B.1 Movement|B.1 Movement|D.1 Abiotic,zone of saturation|zone of aeration|vadose water|aeration|saturation|Water,vadose water: Water ir the zone of aeration; water above the zone of saturation. aeration saturation,,,,,,,Water,,,,,above the zone of saturation|ir the zone of aeration,,,,,,,,,,,,,,,,ir the|above the,,,,,,,
valley sink,A.1 Surface landform|D.1 Abiotic,valley sink|depression,valley sink: An elongated closed depression or series of interconnecting depressions forming a valleylike depression.,,,,,,,depression,,,series of interconnecting depressions forming a valleylike depression|elongated closed,,,,,,,,,,,,,,,,,,,,,,,,,
gushing spring,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,gushing spring|vauclusian spring|underground river|limestone|exsurgence|spring,"vauclusian spring: A large spring or exsurgence of an underground river, generally from limestone, that varies greatly in output and is impenetrable except with diving apparatus. Synonym: gushing spring.",,,generally from limestone,,,,exsurgence|spring,that varies greatly in output,,,is impenetrable except with diving apparatus,,,,large,,,,,,,,generally from,,,,,,,,,,,,
vauclusian spring,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,gushing spring|vauclusian spring|underground river|limestone|exsurgence|spring,"vauclusian spring: A large spring or exsurgence of an underground river, generally from limestone, that varies greatly in output and is impenetrable except with diving apparatus. Synonym: gushing spring.",,,generally from limestone,,,,exsurgence|spring,that varies greatly in output,,,is impenetrable except with diving apparatus,,,,large,,,,,,,,generally from,,,,,,,,,,,,
wall slab,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,block of rock|wall slab|cave|limestone,"wall slab: A thin but large block of rock, which has fallen outward from the wall of a cave in limestone in which the dip is nearly vertical.",,,,,,,block of rock,,which has fallen outward from the wall of a cave in limestone,thin,,,,,large,,,,,,,,,,,,,,,,,,,,
water trap,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,water trap|chamber|water,water trap: A place where the roof of a chamber or passage of a cave dips under water but lifts again farther on. Synonym: trap.,,,,,,,,,,,,A place where the roof of a chamber or passage of a cave dips under water but lifts again farther on,,,,,,,,,,,,,,,,A place where the,,,,,,,
well,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,water|hole|oil|shaft|minerals|well|gas|earth,"well: A shaft or hole sunk into the earth to obtain water, oil, gas, or minerals.",,,,,,,shaft or hole,,,,"to obtain water , oil , gas , or minerals",sunk into the earth,,,,,,,,,,,,,,,to obtain,sunk into,,,,,,,
well,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,closed depression|shaft|hole|cave|well,well: A deep vertical rounded hole or shaft in the floor of a cave or at the bottom of a closed depression. deep vertical rounded,,,,,,,hole or shaft,,,deep vertical rounded|vertical rounded,,in the floor of a cave or at the bottom of a closed depression,,,deep,,,,,,,,,,,,,at the bottom of a|in the floor of,,,,,,,
window,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,passage|window|room,"window: In speleology, a natural opening above the floor of a passage or a room, giving access to an adjoining cavity or to the surface; larger and less symmetrical than a porthole.",,,,,,,natural opening,,,larger and less symmetrical than a porthole,giving access to an adjoining cavity or to the surface,above the floor of a passage or a room,,,,,,,,,,,,,,,,above the,,,,,,,
window,D.1 Abiotic|D.1 Abiotic|A.1 Surface landform,natural bridge|opening|window,window: The opening under the arch of a small natural bridge. small natural,,,,,,,opening,,natural,,,under the arch of a small natural bridge,,,small,,,,,,,,,,,,,under the,,,,,,,
zanjon,D.3.1 Geolocation|B.4 Transformation|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,Puerto Pico|solution|limestone|zanjon|trench,"zanjon: In Puerto Pico, solution trench in limestone. Zanjones range from a few centimeters to about 3 meters in width and from about 1 to 4 meters in depth. Apparently they form by the widening and deepening of joints by solution.",,,in limestone,,,,solution trench,,Apparently they form by the widening and deepening of joints by solution|solution,,,,In Puerto Pico,,Zanjones range from a few centimeters to about 3 meters in width and from about 1 to 4 meters in depth,,,,,,,,,,,,,,,,,,in depth|in width,,
zone of aeration,C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,zone of aeration|vadose water|permeable soil|zone|rock,zone of aeration: The zone in permeable soil or rock that is above the zone saturated with water; the zone of vadose water.,,,in permeable soil or rock,,,,zone,,,,,above the zone saturated with water,,,,,,,,,,,,,,,,that is above the zone,,,,,,,
